title,price,size,unit,streetAddress,addressLocality,addressRegion,time_update,post_id,direction,listing_type,road_width,property_type,legal_documents,width,length,num_floors,num_bedrooms,has_dining_room,has_kitchen,has_rooftop,has_parking,is_owner
Bán hà 5 tầng- hẻm thông 7m- xe 7c đậu trong nhà gần chợ Phạm Đăng Giảng  đường Lê Trọng T,"7,25 tỷ",60,m²,Đường Lê Trọng Tấn,Phường Bình Hưng Hòa,Hồ Chí Minh,2025-10-19,17527776,,Cần bán,7m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,15m,5,5,yes,yes,yes,yes,
"Đất KCN Long Đức, DT100,7m2, Giá 980, thổ cư, SHR",980 triệu,100,m²,,Xã An Phước,Đồng Nai,2025-10-19,17520028,,Cần bán,6m,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,5m,20m,,,,,,,
"Bán nhà hẻm 8m HOÀNG HOA THÁM, Bình Thạnh. 80m2 -3 Lầu Đẹp. SHR","4,8 tỷ",81,m²,Đường Hoàng Hoa Thám,Phường Cầu Kiệu,Hồ Chí Minh,2025-10-19,14153183,,Cần bán,8m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,20m,4,5,yes,yes,yes,yes,
"Bán đất An Phước, Dt 98m2, Giá 970 triệu. SHR. Hẻm 134 Phùng Hưng",970 triệu,98,m²,,Xã An Phước,Đồng Nai,2025-10-19,17499485,,Cần bán,7m,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,5m,19m,,,,,,,
"Chính chủ rao bán nhà tại đường Lê Duẩn - Tp Đà Nẵng; DT đất 108,3 m2; Giá 15,5 tỷ","15,5 tỷ",109,m²,Đường Lê Duẩn,Phường Thanh Khê,Đà Nẵng,2025-10-19,17459840,Đông Nam,Cần bán,15m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"8,6m","12,72m",3,4,,,,,
"Bán nhà hẻm xe hơi 1 trục thẳng sát MT Trường Chinh, P14 Tân Bình, gần Etown, 72m2 3 tầng","10,5 tỷ",72,m²,Đường Trường Chinh,Phường Tân Bình,Hồ Chí Minh,2025-10-19,17351334,Đông,Cần bán,6m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,18m,3,5,yes,yes,yes,yes,
"🏠 BÁN NHÀ LIỀN KỀ KHU ĐÔ THỊ VĂN QUÁN – HÀ ĐÔNG Diện Tích 85m2, Gara Ô Tô, Giá 24 tỷ",24 tỷ,85,m²,Đường Nguyễn Sơn Hà,Phường Hà Đông,Hà Nội,2025-10-19,17450042,,Cần bán,8m,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,,5,6,yes,yes,yes,yes,
Grencity dự án đẹp nhất song song với đường 27m,"2,85 tỷ",100,m²,Đường Dũng sĩ Điện Ngọc,Phường Điện Bàn Đông,Đà Nẵng,2025-10-19,17288464,Đông,Cần bán,"5,5m","Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,5m,20m,3,,,,,,
"Ngọc dương lô góc duy nhất 1 lô 4ty3xx.đẹp đường 10,5.","4,35 tỷ",100,m²,Đường Trường Sa,Phường Điện Bàn Đông,Đà Nẵng,2025-10-19,17334355,Tây Nam,Cần bán,"10,m","Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,9m,24m,9,,,,,,
Chủ bán 4000m đất vườn view suối,"3,7 tỷ",4.000,m²,Đường ĐT 602,Xã Hòa Tiến,Đà Nẵng,2025-10-19,17416785,Đông,Cần bán,4m,Trang trại,,5m,54m,,,,,,,
